MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read)
RAM;8388608;Int;BufferSize;1;clock_gettime();1.216328;1.216328;6.896669;0.000000;0.000000;1.188097;1.188097;7.060539;0.000000;0.000000
RAM;16777216;Int;BufferSize;2;clock_gettime();1.233091;1.832873;9.153508;0.008382;0.457290;1.221856;1.799025;9.325725;0.016879;0.938250
RAM;25165824;Int;BufferSize;3;clock_gettime();1.221156;2.239925;11.235120;0.007045;0.314541;1.208087;2.201721;11.430069;0.013860;0.629494
RAM;33554432;Int;BufferSize;4;clock_gettime();1.196097;2.538949;13.215874;0.013352;0.525889;1.378409;2.546323;13.177600;0.075608;2.969316
RAM;41943040;Int;BufferSize;5;clock_gettime();1.247327;2.788415;15.041895;0.017118;0.613891;1.204396;2.787203;15.048436;0.069952;2.509744
RAM;50331648;Int;BufferSize;6;clock_gettime();1.222893;2.992230;16.820781;0.015626;0.522233;1.210670;2.988981;16.839066;0.064796;2.167837
RAM;58720256;Int;BufferSize;7;clock_gettime();1.212803;3.165488;18.550145;0.014885;0.470243;1.200477;3.160478;18.579551;0.061211;1.936779
RAM;67108864;Int;BufferSize;8;clock_gettime();1.215483;3.317423;20.229216;0.014060;0.423830;1.207080;3.311363;20.266238;0.057770;1.744602
RAM;75497472;Int;BufferSize;9;clock_gettime();1.212692;3.452167;21.869591;0.013490;0.390763;1.192093;3.443817;21.922611;0.055584;1.614019
RAM;83886080;Int;BufferSize;10;clock_gettime();1.194230;3.571590;23.487044;0.014915;0.417599;1.183384;3.562156;23.549245;0.054085;1.518321
SSD;4194304;Int;BufferSize;1;clock_gettime();0.001551;0.001551;2704.955501;0.000000;0.000000;0.001023;0.001023;4100.805632;0.000000;0.000000
SSD;8388608;Int;BufferSize;2;clock_gettime();0.002018;0.002560;3277.056020;0.000234;6.137433;0.000825;0.001435;5844.090846;0.000099;6.883099
SSD;12582912;Int;BufferSize;3;clock_gettime();0.001479;0.003053;4121.716002;0.000239;5.834156;0.000813;0.001706;7374.384340;0.000096;6.639759
SSD;16777216;Int;BufferSize;4;clock_gettime();0.001494;0.003426;4896.408121;0.000223;5.496346;0.000821;0.001912;8776.875008;0.000088;6.609027
SSD;20971520;Int;BufferSize;5;clock_gettime();0.001491;0.003725;5630.643660;0.000207;5.568039;0.000925;0.002097;10002.704398;0.000082;5.901778
SSD;25165824;Int;BufferSize;6;clock_gettime();0.001497;0.003974;6332.485227;0.000194;4.872746;0.000817;0.002233;11271.383239;0.000078;5.514064
SSD;29360128;Int;BufferSize;7;clock_gettime();0.001613;0.004205;6982.981356;0.000179;4.268990;0.001930;0.002508;11704.771103;0.000378;7.055619
SSD;33554432;Int;BufferSize;8;clock_gettime();0.002179;0.004477;7494.929154;0.000257;4.735751;0.000829;0.002612;12845.941835;0.000359;6.742162
SSD;37748736;Int;BufferSize;9;clock_gettime();0.001822;0.004679;8067.010987;0.000247;4.279648;0.000835;0.002705;13956.154804;0.000342;6.654766
SSD;41943040;Int;BufferSize;10;clock_gettime();0.001546;0.004834;8676.735245;0.000238;4.922599;0.000876;0.002792;15020.162195;0.000326;6.681440
SSD;46137344;Int;BufferSize;11;clock_gettime();0.001516;0.004972;9279.837117;0.000231;4.648427;0.000822;0.002867;16091.509557;0.000314;5.947563
SSD;50331648;Int;BufferSize;12;clock_gettime();0.001498;0.005097;9875.517194;0.000225;4.424470;0.001004;0.002951;17056.744372;0.000301;5.194202
SSD;54525952;Int;BufferSize;13;clock_gettime();0.001502;0.005212;10461.244998;0.000220;4.217401;0.000882;0.003019;18062.973783;0.000290;5.199121
SSD;58720256;Int;BufferSize;14;clock_gettime();0.002665;0.005403;10869.046333;0.000340;4.296078;0.000863;0.003080;19063.152072;0.000280;5.096682
SSD;62914560;Int;BufferSize;15;clock_gettime();0.001813;0.005523;11390.546301;0.000330;3.969463;0.000841;0.003136;20059.685782;0.000272;4.672563
SSD;67108864;Int;BufferSize;16;clock_gettime();0.001728;0.005631;11916.876391;0.000319;3.669458;0.000853;0.003190;21039.367551;0.000264;4.283399
SSD;71303168;Int;BufferSize;17;clock_gettime();0.001481;0.005719;12468.815365;0.000315;3.500243;0.000852;0.003240;22008.400716;0.000257;3.934435
SSD;75497472;Int;BufferSize;18;clock_gettime();0.001489;0.005801;13014.055979;0.000309;3.334490;0.001724;0.003336;22633.704555;0.000309;3.565797
SSD;79691776;Int;BufferSize;19;clock_gettime();0.002164;0.005915;13472.590072;0.000319;3.399719;0.000894;0.003383;23558.662894;0.000301;3.208742
SSD;83886080;Int;BufferSize;20;clock_gettime();0.001526;0.005991;14001.071410;0.000314;3.240290;0.000835;0.003424;24496.111068;0.000295;3.119916
--
